교재명,급수,단원번호,단원명,학습목표,이론실습,페이지범위,예시,교육내용,활용도구,핵심역량목표,교재구성체크,수업설계체크,평가운영체크,원본파일,원본행
,교육 1~2,1단원,도입,자격증/과정 목적을 이해하고 AI 번역의 활용 분야를 큰 그림으로 파악한다,이론,해당없음,“이 자격증은 무엇을 검증하나?”,"AI 번역이 어디에 쓰이고, 과정에서 무엇을 할 수 있게 되는지 안내(기대 결과/평가 방식)","안내자료, 샘플 문제",AI 도구 기본 사용 / 안전한 요청 습관,□ 개념 □ 용어 □ 예시 □ 미니퀴즈 □ 안전/금지,□ 차시계획 □ 실습가이드 □ 과제 □ 피드백폼,□ 간단테스트 □ 루브릭(기초) □ 검수자,휴텍씨DB/교재.csv,4
,교육 3~4,2단원,AI 번역 이론,"NMT/LLM 개념과 번역 품질 지표(MQM, BLEU 등)를 이해하고 문체별 전략을 설명한다",이론+미니 실습,해당없음,같은 문장 NMT vs LLM 비교,"NMT/LLM 차이, 품질지표가 왜 필요한지, 문체(뉴스/안내문/대화)별 주의점","ChatGPT, DeepL/Google, MQM 체크리스트",결과 품질 개선(수정·추가 질문),□ 개념 □ 사례 □ Before/After □ 체크리스트,□ 실습 시나리오 □ 과제 □ 코칭포인트,□ 수행평가 □ 루브릭(중) □ 문항태그,휴텍씨DB/교재.csv,5
,교육 5~6,3단원,언어 비교 이론,주요 언어(영/중/일 등)의 문장 구조·어순 차이를 이해하고 번역 시 함정을 피한다,이론+실습,해당없음,영어 수식어 위치 → 한국어 재배치,언어별로 어순/수식/주어 생략/경어/한자어 등 “틀어지기 쉬운 포인트”를 체크,"예문 세트, 대조표, ChatGPT",템플릿화(문서/요약/기획) / 재현성,□ 템플릿 □ 사례 □ 실습 □ 오류유형,□ 템플릿 실습 □ 팀과제 □ 피어리뷰,□ 실습채점 □ 루브릭(상) □ 버전로그,휴텍씨DB/교재.csv,6
,교육 7~8,4단원,번역 윤리,저작권/개인정보/공정이용 등 번역 실무에서의 윤리 기준을 적용한다,이론+사례,해당없음,개인정보 포함 문장 마스킹,번역 결과물은 저작권·보안·개인정보 이슈가 생길 수 있음 / 제출물·데이터 다룰 때 금지/주의 규칙,"윤리 체크리스트, 서약서, 가이드",응용(업무/콘텐츠) + 기본 책임성,□ 도메인예시 □ 리스크사례 □ 점검표,□ 프로젝트형 □ 제출물 규격 □ 리뷰룰,□ 프로젝트채점 □ 재채점 규칙,휴텍씨DB/교재.csv,7
,일반 3급,5단원,실전 연습,언어별 번역·후편집을 수행하고 도메인별 실습으로 실전 대응력을 만든다,실습 중심,해당없음,뉴스/기술/법률/영상 번역 후 수정,“번역→오류 잡기→후편집→최종 검수” 루틴을 반복 / 도메인별로 정확성·용어·톤 기준이 달라짐,"ChatGPT, 번역기, 용어집(Glossary), QA 체크리스트",실사용 문서 생성(메일/보고/정리),□ 문서유형별 템플릿 □ 실패사례 □ 수정법,□ 차시별 문서실습 □ 과제,□ 문항세트 □ 루브릭 □ 합격기준,휴텍씨DB/교재.csv,8
,일반 1급,,,,,,,,,복합 과업(기획+검수+산출물),□ 종합 시나리오 □ 품질 기준표,□ 캡스톤 과제 □ 발표/리뷰,□ 시나리오 채점표 □ 이의제기 규칙,휴텍씨DB/교재.csv,9
,일반 2급,,,,,,,,,다단계 지시/조건 관리/검증 습관,□ 체계적 프롬프트 □ 검증 체크리스트,□ 실습(다단계) □ 리비전 훈련,□ 수행형 평가 □ 기준답안,휴텍씨DB/교재.csv,10
,전문가 2급,,,,,,,,,전문 영역 적용(문서/데이터/개발 등),□ 도메인 규정 □ 리스크 케이스 □ 검증법,□ 전문가 실습 □ 케이스 스터디,□ 고난도 루브릭 □ 심사자 체계,휴텍씨DB/교재.csv,11
,전문가 1급,1장,AI 번역 이해와 품질 평가 기준,AI 번역의 품질을 “어떻게 평가할지” 기준(지표/프레임)을 이해한다,이론+미니 실습,(추후 입력),동일 번역문을 기준표로 채점,"RIFI/COMET/MQM이 뭔지 한 번에 정리하고, “좋은 번역/나쁜 번역”을 기준으로 말할 수 있게 만든다","MQM 체크리스트, 평가표(루브릭), (보조) ChatGPT",설계/감수/운영(가이드·표준화),□ 표준 템플릿 □ 운영 가이드 □ 품질관리,□ 운영 시뮬레이션 □ QA 프로세스,□ 문항은행 □ 릴리즈노트 □ 감사로그,휴텍씨DB/교재.csv,12
,교육 1~2,2장,정보성 문서 유형별,"실용 정보문을 유형별로 나누고, 유형에 맞는 번역 기준을 적용한다",이론+실습,(추후 입력),제품설명 vs 안내문 톤 비교,"뉴스/기사/블로그/제품설명/안내문 각각의 톤·형식·주의점(과장 금지, 정보 정확성 등) 체크","DeepL/Google/ChatGPT, 용어집(Glossary)",개인정보/저작권 “하면 안 되는 것”,□ 쉬운 사례 □ 금지 예시 □ 행동수칙,□ 활동지 □ 역할극/퀴즈,□ OX □ 간단서약,휴텍씨DB/교재.csv,13
